,title,price,mileage,year,location
0,Honda Beat,"Rp 14,200,000",5 - 10K KM,2019,Kelapa Dua
1,Honda Beat,"Rp 16,100,000",5 - 10K KM,2021,Kelapa Dua
2,Honda Cb Verza 150,"Rp 17,800,000",5 - 10K KM,2018,Kelapa Dua
3,Honda Crf 150l,"Rp 29,900,000",5 - 10K KM,2019,Kelapa Dua
4,Yamaha Lexi,"Rp 18,000,000",5 - 10K KM,2019,Kelapa Dua
5,Yamaha Nmax Abs,"Rp 20,100,000",5 - 10K KM,2017,Kelapa Dua
6,Honda New Pcx 150 Abs,"Rp 30,100,000",5 - 10K KM,2020,Kelapa Dua
7,Honda New Scoopy Stylish,"Rp 17,900,000",5 - 10K KM,2019,Kelapa Dua
8,Yamaha Nmax Abs,"Rp 28,400,000",5 - 10K KM,2021,Kelapa Dua
9,Honda Cbr 150 Rcr,"Rp 20,100,000",5 - 10K KM,2017,Kelapa Dua
10,Yamaha Aerox 155 Vva,"Rp 23,200,000",5 - 10K KM,2021,Kelapa Dua
11,Honda Beat,"Rp 14,200,000",5 - 10K KM,2019,Kelapa Dua
12,Honda Beat,"Rp 16,100,000",5 - 10K KM,2021,Kelapa Dua
13,Honda Cb Verza 150,"Rp 17,800,000",5 - 10K KM,2018,Kelapa Dua
14,Honda Cbr 150 Rcr,"Rp 20,100,000",5 - 10K KM,2017,Kelapa Dua
15,Honda Crf 150l,"Rp 29,900,000",5 - 10K KM,2019,Kelapa Dua
16,Honda Vario 150 Esp Exclusive,"Rp 14,000,000",10 - 30K KM,2017,Pancoran Mas
17,Honda Vario 125 Esp Cbs,"Rp 9,500,000",10 - 30K KM,2013,Pancoran Mas
18,Yamaha Lexi,"Rp 18,000,000",5 - 10K KM,2019,Kelapa Dua
19,Yamaha Nmax Abs,"Rp 21,700,000",5 - 10K KM,2017,Kelapa Dua
20,Yamaha Nmax Abs,"Rp 28,400,000",5 - 10K KM,2021,Kelapa Dua
21,Honda New Pcx 150 Abs,"Rp 28,600,000",5 - 10K KM,2019,Kelapa Dua
22,Honda Scoopy,"Rp 16,900,000",5 - 10K KM,2018,Kelapa Dua
23,Honda Scoopy,"Rp 17,900,000",5 - 10K KM,2019,Kelapa Dua
24,Honda Vario 125 Esp Cbs,"Rp 16,500,000",5 - 10K KM,2019,Kelapa Dua
25,Honda Beat,"Rp 14,200,000",5 - 10K KM,2019,Kelapa Dua
26,Honda Beat,"Rp 16,100,000",5 - 10K KM,2021,Kelapa Dua
27,Honda Cbr 150 Rcr,"Rp 20,100,000",5 - 10K KM,2017,Kelapa Dua
28,Honda Crf 150l,"Rp 29,900,000",5 - 10K KM,2019,Kelapa Dua
29,Yamaha Lexi,"Rp 18,000,000",5 - 10K KM,2019,Kelapa Dua
30,Yamaha Nmax Abs,"Rp 21,700,000",5 - 10K KM,2017,Kelapa Dua
31,Yamaha Nmax Abs,"Rp 21,700,000",5 - 10K KM,2017,Kelapa Dua
32,Honda Pcx,"Rp 28,600,000",5 - 10K KM,2019,Kelapa Dua
33,Honda New Pcx 150 Abs,"Rp 30,100,000",5 - 10K KM,2020,Kelapa Dua
34,Honda Scoopy,"Rp 16,900,000",5 - 10K KM,2018,Kelapa Dua
35,Honda Scoopy,"Rp 17,900,000",5 - 10K KM,2019,Kelapa Dua
36,Honda Vario Cw,"Rp 16,500,000",5 - 10K KM,2019,Kelapa Dua
37,Yamaha Nmax Abs,"Rp 28,400,000",5 - 10K KM,2021,Kelapa Dua
38,Yamaha Nmax Abs,"Rp 28,400,000",5 - 10K KM,2021,Kelapa Dua
39,Honda Cb Verza 150,"Rp 17,800,000",5 - 10K KM,2018,Kelapa Dua
40,Yamaha Aerox 155 Vva,"Rp 23,200,000",5 - 10K KM,2021,Kelapa Dua
41,Honda New Pcx 150 Abs,"Rp 30,100,000",5 - 10K KM,2020,Kelapa Dua
42,Honda Beat Fi Sporty Cw,"Rp 11,500,000",10 - 30K KM,2015,Tlogowatu
43,Honda New Vario 125 Esp Cbs,"Rp 8,800,000",10 - 30K KM,2012,Pancoran Mas
44,Honda Vario 125 Esp Cbs,"Rp 15,500,000",10 - 30K KM,2018,Pancoran Mas
45,Yamaha Aerox 155 Vva,"Rp 17,500,000",10 - 30K KM,2017,Pancoran Mas
46,Honda Beat,"Rp 6,000,000",10 - 30K KM,2010,Pancoran Mas
47,Honda New Vario 125 Esp Cbs,"Rp 18,200,000",10 - 20K KM,2018,Kraguman
48,Yamaha N Max,"Rp 24,900,000",10 - 30K KM,2017,Manjung
49,Yamaha Lexi,"Rp 18,000,000",5 - 10K KM,2019,Kelapa Dua
50,Yamaha Nmax Abs,"Rp 21,700,000",5 - 10K KM,2017,Kelapa Dua
51,Yamaha Nmax Abs,"Rp 28,400,000",5 - 10K KM,2021,Kelapa Dua
52,Honda New Pcx 150 Abs,"Rp 28,600,000",5 - 10K KM,2019,Kelapa Dua
53,Honda Scoopy,"Rp 16,900,000",5 - 10K KM,2018,Kelapa Dua
54,Honda Scoopy Esp,"Rp 17,900,000",5 - 10K KM,2019,Kelapa Dua
55,Honda Vario Std,"Rp 16,500,000",5 - 10K KM,2019,Kelapa Dua
56,Yamaha Aerox 155 Vva,"Rp 23,200,000",5 - 10K KM,2021,Kelapa Dua
57,Honda Cb Verza 150,"Rp 17,800,000",5 - 10K KM,2018,Kelapa Dua
58,Honda Cbr 150 Rcr,"Rp 20,100,000",5 - 10K KM,2017,Kelapa Dua
59,Honda Crf 150l,"Rp 29,900,000",5 - 10K KM,2019,Kelapa Dua
60,Suzuki Satria Fu150scd2b,"Rp 11,700,000",10 - 30K KM,2016,Pakisan
61,Honda Vario 125 Esp Cbs Iss,"Rp 17,800,000",10 - 30K KM,2017,Jotangan
62,Yamaha Lexi,"Rp 18,000,000",5 - 10K KM,2019,Kelapa Dua
63,Yamaha Nmax Abs,"Rp 21,700,000",5 - 10K KM,2017,Kelapa Dua
64,Yamaha Nmax Abs,"Rp 28,400,000",5 - 10K KM,2021,Kelapa Dua
65,Honda New Pcx 150 Abs,"Rp 30,100,000",5 - 10K KM,2020,Kelapa Dua
66,Honda Scoopy,"Rp 17,000,000",5 - 10K KM,2018,Kelapa Dua
67,Honda Scoopy Esp,"Rp 18,000,000",5 - 10K KM,2019,Kelapa Dua
68,Honda Vario Std,"Rp 16,500,000",5 - 10K KM,2019,Kelapa Dua
69,Honda Pcx,"Rp 28,600,000",5 - 10K KM,2019,Kelapa Dua
70,Yamaha Lexi,"Rp 18,000,000",5 - 10K KM,2019,Kelapa Dua
